scan,run,px,py,x,y,Unemployment,GDP Growth,Inflation,Pension Growth,YoungUnemp,OldUnemp,PensionBalEnd,Bankruptcies
mpc x birth,18,mpc-income,birth-count-shift,0.65,-4.0,0.04628120198605842,-0.00146745830922785,0.011222487129597513,0.002803745955818905,0.058077382966526495,0.04391263289909362,3338.64265616284,38
mpc x birth,19,mpc-income,birth-count-shift,0.65,-4.0,0.05347126390282286,-0.00291867244293514,0.009468744568638943,-0.005197528736825515,0.06786375205588493,0.050223221197400233,3029.891177695614,38
mpc x birth,20,mpc-income,birth-count-shift,0.65,-4.0,0.04856690998633724,-0.0023434655037160627,0.010472636664066368,0.0007257210822471323,0.05689786199884091,0.046919672545229996,3270.72141104712,39
mpc x birth,21,mpc-income,birth-count-shift,0.65,-4.0,0.04378637231746516,-0.0008046696767110815,0.007953923000985946,0.006180772426993362,0.05394967054344356,0.04166168579792918,3479.5173180235333,33
mpc x birth,22,mpc-income,birth-count-shift,0.65,-4.0,0.04967061604966556,-0.002113209646816957,0.008275779687102768,0.0054616443195803065,0.0574305412413994,0.04803231858563221,3439.507892125625,39
mpc x birth,23,mpc-income,birth-count-shift,0.65,-4.0,0.04488635625544577,-0.0013903644416159056,0.008927104781586592,-0.0016469803531400909,0.052085848785550705,0.04329125109818109,3201.6863596695644,36
mpc x birth,24,mpc-income,birth-count-shift,0.65,-4.0,0.045749686782239576,-0.002116458789374407,0.009787280963969646,-0.00828326371613137,0.06647580703623211,0.04187908937166964,2947.146061643208,37
mpc x birth,25,mpc-income,birth-count-shift,0.65,-4.0,0.04417556338478143,-1.1116782532741982e-06,0.007220193748131024,0.0005367969462625316,0.05568509966805548,0.041795387277839824,3255.5686291189,34
mpc x birth,26,mpc-income,birth-count-shift,0.65,-4.0,0.05301331015946241,-0.004347562217328378,0.010278222146377278,0.005125262430748861,0.061712018363462094,0.05096818489341002,3406.593385328075,43
mpc x birth,27,mpc-income,birth-count-shift,0.65,-4.0,0.049238368783806254,-0.0017545397159181384,0.0081127569227402,-0.0012410062141447124,0.06249862077663944,0.046600582990068515,3193.963524129369,37
mpc x birth,28,mpc-income,birth-count-shift,0.65,-4.0,0.04972455035581359,-0.0015158571375829468,0.006787967475351325,0.004158830815974202,0.05851681246727154,0.04787715058682748,3398.474160269125,36
mpc x birth,29,mpc-income,birth-count-shift,0.65,-4.0,0.048123415714022046,-0.0036034610794179593,0.008962293511247698,-0.001483621442346568,0.060441229270577414,0.04563344045966957,3165.247016638931,42
mpc x birth,30,mpc-income,birth-count-shift,0.65,-4.0,0.048533680517590036,-0.0022360254727656547,0.008122631609885808,-0.0037726199000388126,0.06020664638223673,0.04623401308649043,3106.555689524489,39
mpc x birth,31,mpc-income,birth-count-shift,0.65,-3.0,0.06298449189254987,-0.0022268090534394522,0.00907329495641652,0.002686613036411251,0.08296270477386755,0.058384779798990684,3335.648994299886,36
mpc x birth,32,mpc-income,birth-count-shift,0.65,-3.0,0.0586369022852951,-0.0018614140513059387,0.005799870367052199,0.00022824452872127754,0.079532617242908,0.05410650393571289,3227.211222069461,38
